"Target","Type","Variable","RDA1","RDA2"
"BiomassDrivers","Site_score","Gv",-0.000127745092110611,-0.273430448043925
"BiomassDrivers","Site_score","Bw",-0.204841157105489,-0.126790338994273
"BiomassDrivers","Site_score","Ks_3",0.151765552838365,-0.0228444288204719
"BiomassDrivers","Site_score","Ks_9",-0.0214787006400386,-0.29502325575733
"BiomassDrivers","Site_score","Me",-0.46680663205528,-0.0879378294961775
"BiomassDrivers","Site_score","Mo",-0.227066457016374,-0.503148962416429
"BiomassDrivers","Site_score","Mu",-0.17180437485091,0.0537994258170432
"BiomassDrivers","Site_score","Ng",-0.00879560726027315,0.274218610539058
"BiomassDrivers","Site_score","Wc",0.0466707809025158,0.206802200897467
"BiomassDrivers","Site_score","Ft",-0.0979708960814234,-0.349258161238804
"BiomassDrivers","Site_score","Sh",0.059276179127752,0.0463202597768464
"BiomassDrivers","Site_score","Ib_a",0.327724400521624,-0.212637660983432
"BiomassDrivers","Site_score","Ib_b",0.272976542160008,-0.15491005056273
"BiomassDrivers","Site_score","Ib_c",0.296384571062924,0.428404499558989
"BiomassDrivers","Site_score","Vo",0.132597454748479,0.274001264847503
"BiomassDrivers","Site_score","Od",-0.262144073942666,0.0896250147191921
"BiomassDrivers","Site_score","Mg",0.285046083404154,-0.140816185441129
"BiomassDrivers","Site_score","Kn",0.0904997772585471,0.114603760960586
"BiomassDrivers","Site_score","Wd",-0.201905697979803,0.679022284638018
"BiomassDrivers","Loading","BD->EF",0.304812706275917,0.413871783143449
"BiomassDrivers","Loading","NO3->EF",0.266899100911465,-0.465890152667625
"BiomassDrivers","Loading","PO4->EF",-0.410471820298672,0.0846393572824689
"BiomassDrivers","Loading","Temp->EF",-0.27742921397376,-0.118712644498426
"BiomassDrivers","Environment_score","Biomass",0.557402581008295,-0.0263068178654601
"BiomassDrivers","Environment_score","Depth",0.110622765604481,-0.334856621893048
"BiomassDrivers","Environment_score","NO3",0.385211146562975,-0.036705866880785
"BiomassDrivers","Environment_score","PO4",-0.45058161756373,-0.198203015359301
"BiomassDrivers","Environment_score","Richness",0.578265515713838,0.12872446665923
"BiomassDrivers","Environment_score","Temp",0.205706208536885,-0.411287639816563
"RichnessDrivers","Site_score","Gv",-0.61151041266082,-0.167031058339463
"RichnessDrivers","Site_score","Bw",0.0632897366002558,0.0113709900402578
"RichnessDrivers","Site_score","Ks_3",0.281834385296979,0.135927548412082
"RichnessDrivers","Site_score","Ks_9",0.08943421271307,0.161178821193811
"RichnessDrivers","Site_score","Me",-0.426535590791929,-0.250355573235723
"RichnessDrivers","Site_score","Mo",-0.217649808694143,0.240345145494729
"RichnessDrivers","Site_score","Mu",0.0658146410611803,-0.287196610138071
"RichnessDrivers","Site_score","Ng",-0.343820698232575,0.417165052051132
"RichnessDrivers","Site_score","Wc",-0.215993494631446,0.0598509433684162
"RichnessDrivers","Site_score","Ft",0.427333051464232,-0.607817406555783
"RichnessDrivers","Site_score","Sh",-0.055807628077742,-0.0569169092735787
"RichnessDrivers","Site_score","Ib_a",0.386129400191744,-0.0679892350199
"RichnessDrivers","Site_score","Ib_b",0.422652795500329,-0.140252794115806
"RichnessDrivers","Site_score","Ib_c",0.30587753064847,-0.00178854130046821
"RichnessDrivers","Site_score","Vo",0.185040412294581,0.474031076750223
"RichnessDrivers","Site_score","Od",-0.0479616376056783,0.0382015912530946
"RichnessDrivers","Site_score","Mg",0.0648720153867099,-0.0936163723698647
"RichnessDrivers","Site_score","Kn",-0.286444053704574,-0.00140756987519018
"RichnessDrivers","Site_score","Wd",-0.0865548567586431,0.136300901660102
"RichnessDrivers","Loading","NO3->BD",0.412946579080522,-0.258178289014624
"RichnessDrivers","Loading","PO4->BD",-0.251921948204694,0.106649906782806
"RichnessDrivers","Loading","EF->BD",0.124411185637356,0.552635796817682
"RichnessDrivers","Loading","Temp->BD",-0.400165355480397,-0.161751180955151
"RichnessDrivers","Environment_score","Biomass",0.729370009299471,0.0199388814200715
"RichnessDrivers","Environment_score","Depth",-0.294629920859928,-0.373686787756888
"RichnessDrivers","Environment_score","PO4",-0.328443733238414,-0.176540818026723
"RichnessDrivers","Environment_score","Temp",0.423940590010666,-0.504982484577418
"PairwiseFeedback","Site_score","Gv",0.21501175281149,0.0884473131798451
"PairwiseFeedback","Site_score","Bw",0.0270458210146235,0.0923389838414984
"PairwiseFeedback","Site_score","Ks_3",-0.28844485208503,-0.12106765179214
"PairwiseFeedback","Site_score","Ks_9",0.0660123564878189,0.0984623446754176
"PairwiseFeedback","Site_score","Me",0.305879586327072,0.499636340122474
"PairwiseFeedback","Site_score","Mo",0.250627380261437,-0.00954078408463744
"PairwiseFeedback","Site_score","Mu",-0.00146740238029245,0.348211971656627
"PairwiseFeedback","Site_score","Ng",0.133559280271329,-0.22180611225209
"PairwiseFeedback","Site_score","Wc",0.27216042440246,-0.130924867182458
"PairwiseFeedback","Site_score","Ft",-0.333766288458226,0.504654111192532
"PairwiseFeedback","Site_score","Sh",-0.0497568588322716,0.0294940252099398
"PairwiseFeedback","Site_score","Ib_a",-0.370312676019803,-0.0948420002739191
"PairwiseFeedback","Site_score","Ib_b",-0.366835142527084,0.0286042351956772
"PairwiseFeedback","Site_score","Ib_c",-0.266943021993858,-0.200051393926645
