"system","Normalized_Chla","Normalized.log.composition.derived.biomass.","Normalized_Data_Were_Not_Arranged_by_Chronological_Order"
"Gv",-0.152549940673013,-0.316696213947479,""
"Gv",-0.560404515414885,-0.276489829223062,""
"Gv",0.812945636460421,0.465909731069329,""
"Gv",-0.32968497213959,0.118447185813674,""
"Gv",-0.210047071816044,-0.76827707656201,""
"Gv",-0.210843110309675,0.445114580946316,""
"Gv",-0.983044427240104,-1.43274968602672,""
"Gv",-0.0698366789264255,0.613076428736482,""
"Gv",1.25208340379995,1.05360223627492,""
"Gv",-1.10309185335543,-1.26802585088422,""
"Gv",0.535882546940698,1.28854826123553,""
"Gv",0.667538493985944,1.5248046486839,""
"Gv",-0.346734772133197,0.0806512771885623,""
"Gv",-0.0388160129995461,0.728697761661321,""
"Gv",-1.80243512071209,-1.6147059854969,""
"Gv",0.243625744262493,0.789962473527121,""
"Gv",-1.93425712772941,0.165132495320858,""
"Gv",0.707010154137327,0.603114514628467,""
"Gv",-0.274842541776251,-0.87216877053639,""
"Gv",-0.175431971840378,-0.960247264200893,""
"Gv",0.862979794265372,0.624566791110683,""
"Gv",-1.23395357863997,-1.30258767623604,""
"Gv",0.564319660665402,-0.414277328695276,""
"Gv",-0.648274903712949,-1.175466041956,""
"Gv",0.518506895016323,0.0765177127332694,""
"Gv",0.633443396935612,1.29870953712489,""
"Gv",0.413371056983794,1.10654512578992,""
"Gv",-0.18384351559934,0.391182115962805,""
"Gv",0.524209905186425,0.286595181871219,""
"Gv",0.934268313924676,0.986496333626816,""
"Gv",-0.573624910362815,-0.675614129901437,""
"Gv",-0.473668954802613,-0.0148053614223414,""
"Gv",-0.315326141343396,-0.735170727508902,""
"Gv",0.0585778522557039,0.0457374158725142,""
"Gv",-0.227418889662509,0.349969707151493,""
"Gv",-1.92894148238007,-2.17616215692482,""
"Gv",-1.47457767097198,-1.00691531398431,""
"Gv",0.434771005709293,0.0889411780989065,""
"Gv",0.861630942898532,0.623449893238918,""
"Gv",-0.117190584178852,-0.220469064107485,""
"Gv",0.830039236968927,1.43173591915213,""
"Gv",0.828813930363643,-0.805259290429165,""
"Gv",0.364566618848572,0.262214893762164,""
"Gv",0.395863388475094,0.553756479044791,""
"Gv",0.727852979522668,0.703355638926597,""
"Gv",-0.0697957925204861,-0.0745636850764029,""
"Gv",-0.928282725686402,-0.197005497757301,""
"Gv",0.181869527075546,0.00876499281499311,""
"Gv",-1.7058437128068,-0.832913923225682,""
"Gv",-0.307792705993639,-1.12362150035817,""
"Gv",0.239484772346472,0.668421740377567,""
"Gv",-0.551609129821991,-0.226187646399924,""
"Gv",1.34304981594594,0.581279929045954,""
"Gv",2.42616034512398,2.92230257076223,""
"Gv",0.504466231748636,0.577969745410125,""
"Gv",0.176674798138318,0.842253249149065,""
"Gv",0.825604361413093,-0.489313518508845,""
"Gv",-0.717463605417106,-0.28663020726562,""
"Gv",-0.776647803843685,0.570252934279456,""
"Gv",-0.0379642899369782,0.667595179166829,""
"Gv",0.203815744786403,1.30784706325577,""
"Gv",-2.33487137850282,-1.79041726551963,""
"Gv",0.0310020772088864,-1.56744675969182,""
"Gv",-0.304061129652345,0.862201075726473,""
"Gv",2.08127448436443,1.07399139307907,""
"Gv",0.984080656216781,0.625342350252803,""
"Gv",0.576148221574662,-0.0557461238125294,""
"Gv",-0.86830100255989,-1.08395862832147,""
"Gv",-0.503574632267233,0.0698546875367636,""
"Gv",1.01575895213272,1.1004924611086,""
"Gv",-0.188795853714941,0.23634403843761,""
"Gv",-0.469294820410084,-0.171843129788586,""
"Gv",0.37714780885207,0.26287755887618,""
"Gv",2.1217133282926,1.13763329936039,""
"Gv",0.826658328715588,0.469347354653577,""
"Gv",0.140847401379769,0.620718634330257,""
"Gv",0.912682975681458,0.668599662065855,""
"Gv",-0.25508824703331,-0.432920489045752,""
"Gv",-1.18362069619175,-1.09991631593123,""
"Gv",0.111970970753082,0.620817848566151,""
"Gv",-2.21847105427599,-2.50415904815862,""
"Gv",0.0308474722343516,-1.0826458497001,""
"Gv",1.00173880779104,0.675373283683653,""
"Gv",1.51373941851752,1.50337481801738,""
"Gv",-0.963683527123318,-1.18657564836514,""
"Gv",-1.03777734051966,-0.773880346791749,""
"Gv",-0.394022573449566,0.00907949694769447,""
"Gv",0.437930581260075,-0.2468782234732,""
"Gv",0.924224373752998,0.309174667187036,""
"Gv",-0.514362378578483,-0.687909298670265,""
"Gv",0.176407538528248,0.5281489025133,""
"Gv",0.40086958330329,0.625924685393361,""
"Gv",0.487276175789198,1.17956234863855,""
"Gv",0.246917940848077,0.366209451636051,""
"Gv",1.28684108084249,0.678001045784919,""
"Gv",1.19202955925394,1.01417022543672,""
"Gv",-1.16506680643092,0.280666139249063,""
"Gv",1.13627658859312,0.803692283945788,""
"Gv",-1.19247285962078,-0.928254254179719,""
"Gv",-1.36078693154785,-1.09976198297792,""
"Gv",-0.312671008247809,-0.419474419302204,""
"Gv",-0.830275138900064,-1.02582050072183,""
"Gv",-0.255564379966426,0.631448152772813,""
"Gv",-1.20949835712291,-1.04216689179578,""
